SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Hermitage Park Primary School,"9 Hermitage Park, Edinburgh",EH6 8HD,Primary,ND Primary,ND,YES,,N/A,North,Leith,13,N/A,East,5525128,554 2952,538 7280,www.hermitagepark.edin.sch.uk,327562,675341
Hillwood Primary School,"Station Road, Ratho Station, Newbridge",EH28 8PT,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5540526,333 1210,335 3682,none,313179,672304
Holy Cross RC Primary School,"Craighall Road, Edinburgh",EH6 4RE,Primary,RC Primary,RC,YES,,N/A,North,Forth,4,N/A,North and Leith,5525225,552 1972,478 7033,none,325400,676250
James Gillespie's Primary School,"Whitehouse Loan, Edinburgh",EH9 1BD,Primary,ND Primary,ND,YES,,N/A,South,Meadows/Morningside,10,N/A,South,5525829,447 1014,447 1042,www.jamesgillespies-pri.edin.sch.uk,325011,672164
Juniper Green Primary School,"20 Baberton Mains Wynd, Edinburgh",EH14 3EE,Primary,ND Primary,ND,YES,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5525926,442 2121,467 7980,www.junigreen.ik.org,319776,668909
Kirkliston Primary School,"15 Carmel Road, Kirkliston",EH29 9DD,Primary,ND Primary,ND,,,N/A,West,Almond,1,N/A,West,5531721,333 3260,335 3582,www.kirkliston.edin.sch.uk,312036,674548
Leith Primary School,"St Andrew's Place, Edinburgh",EH6 7EG,Primary,ND Primary,ND,YES,,N/A,North,Leith,13,Leith,North and Leith,5532221,554 4844,467 7988,www.leith-pri.edin.sch.uk,327149,675895
Leith Walk Primary School,"9 Brunswick Road, Edinburgh",EH7 5NG,Primary,ND Primary,ND,YES,,N/A,North,Leith Walk,12,N/A,North and Leith,5526124,556 3873,556 6524,none,326470,674780
Liberton Primary School,"229 Gilmerton Road, Edinburgh",EH16 5UD,Primary,ND Primary,ND,YES,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5531829,664 2337,666 0599,www.liberton-pri.edin.sch.uk,327470,670610
Longstone Primary School,"Redhall Grove, Edinburgh",EH14 2DU,Primary,ND Primary,ND,YES,,N/A,South West,Sighthill/Gorgie,7,N/A,Pentlands,5526523,443 4743,443 5297,www.longstone.edin.sch.uk,321280,670490
Lorne Primary School,"7 Lorne Street, Edinburgh",EH6 8QS,Primary,ND Primary,ND,YES,,N/A,North,Leith Walk,12,Leith,North and Leith,5526620,554 2308,467 7228,www.lorne.edin.sch.uk,326781,675421
Murrayburn Primary School,"1 Sighthill Loan, Edinburgh",EH11 4NP,Primary,ND Primary,ND,YES,,N/A,West,Sighthill/Gorgie,7,Broomhouse,Pentlands,5527023,453 5339,442 1709,www.murrayburn.edin.sch.uk,320016,670665
