"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"Ferry Road",Craigleith,"Groathill Road North","Ferry Road (SR Nos 703 - 775)",133.8,1,Barnton_005
"Ferry Road",Craigleith,"Muirhouse Bank","Muirhouse Green",137.1,1,Barnton_005
"Ferry Road",Craigleith,"Wester Drylaw Drive","Muirhouse Bank",56.08,1,Barnton_005
"Ferry Road",Craigleith,"Silverknowes Neuk","Wester Drylaw Drive",126.1,1,Barnton_005
"Ferry Road",Craigleith,"Summerside Street","Newhaven Road",100.9,1,Barnton_005
"Ferry Road",Craigleith,"Ferry Road","Crewe Toll Roundabout",470.6,1,Barnton_005
"Ferry Road Drive",Pilton,"Ferry Road Drive","West Pilton Place",68.27,1,Barnton_013
"Ferry Road Drive",Pilton,"West Pilton Avenue","Ferry Road Drive",88.46,1,Barnton_013
"Ferry Road Drive",Pilton,"West Pilton Place","West Pilton Place",54.16,1,Barnton_013
"Ferry Road Drive",Pilton,"West Pilton Park","West Pilton Place",47.27,1,Barnton_013
Ferrymuir,"South Queensferry",Ferrymuir,Ferrymuir,74.2,1,Barnton_012
Ferrymuir,"South Queensferry",Ferrymuir,"End of cul de sac",112,1,Barnton_012
Ferrymuir,"South Queensferry",Ferrymuir,"End of cul de sac",71.52,1,Barnton_012
Ferrymuir,"South Queensferry",Ferrymuir,Ferrymuir,73.51,1,Barnton_012
Ferrymuir,"South Queensferry","A8000 - Kirkliston to South Queensferry",Ferrymuir,76.9,1,Barnton_012
"Fettes Avenue",Inverleith,"Comely Bank","Carrington Road",341.9,1,Barnton_008
"Fillyside Road",Craigentinny,"Nantwich Drive","Craigentinny Avenue",85.08,1,Blackford_006
"Fillyside Road",Craigentinny,"Nantwich Drive","Seafield Road East",190.2,1,Blackford_006
"Findlay Gardens",Restalrig,"Findlay Medway","Sleigh Drive",250.6,1,Blackford_006
"Findlay Gardens",Restalrig,"Findlay Medway","Restalrig Crescent",268.5,1,Blackford_006
"Fingal Place",Bruntsfield,"Sylvan Place","Argyle Place",83.23,1,Blackford_016
"Firrhill Crescent",Firrhill,"End of cul de sac","Firrhill Crescent",58.92,1,Bankhead_014
"Firrhill Crescent",Firrhill,"Firrhill Loan","End of cul de sac",41.19,1,Bankhead_014
"Firrhill Crescent",Firrhill,"Firrhill Drive","Firrhill Loan",155.8,1,Bankhead_014
"Firrhill Crescent",Firrhill,"Firrhill Drive","Oxgangs Road North",132.1,1,Bankhead_014
"Firrhill Crescent",Firrhill,"Firrhill Crescent","Oxgangs Road North",37.08,1,Bankhead_014
"Firrhill Drive",Firrhill,"Firrhill Neuk","Firrhill Drive",62.61,2,Bankhead_201
"Firrhill Drive",Firrhill,"Oxgangs Crescent","Firrhill Neuk",72.49,2,Bankhead_201
"Firrhill Drive",Firrhill,"Firrhill Drive","Greenlaw Hedge",185.4,2,Bankhead_201
"Firrhill Drive",Firrhill,"Firrhill Drive","Firrhill Drive",288.2,2,Bankhead_201
"Firrhill Drive",Firrhill,"Greenlaw Hedge","Greenlaw Rig",64.78,2,Bankhead_201
"Firrhill Drive",Firrhill,"Greenlaw Rig","Firrhill Crescent",139.2,2,Bankhead_201
"Fishwives' Causeway","Portobello East","Portobello High Street","Fishwives' Causeway",90.75,1,Blackford_003
"Fleming Place",Craigentinny,"Seafield Street","Fleming Place",163.5,1,Blackford_006
"Forbes Road",Bruntsfield,"Chamberlain Road","Bruntsfield Gardens",96.01,2,Bankhead_202
"Forbes Road",Bruntsfield,"Bruntsfield Gardens","Bruntsfield Place",176.8,2,Bankhead_202
"Forrest Road",Tollcross,"Lauriston Place","Forrest Road",33.11,1,Barnton_010
"Forrest Road",Tollcross,"Forrest Road","Bristo Port",43.48,1,Barnton_009
"Forrest Road",Tollcross,"Bristo Port","Forrest Road",25.43,1,Barnton_010
"Forrest Road",Tollcross,"Chambers Street","Forrest Road",37.68,1,Barnton_009
"Forrest Road",Tollcross,"Lauriston Place","Forrest Road",28.27,1,Barnton_009
"Forrest Road",Tollcross,"Forrest Road","End of cul de sac",139.7,1,Barnton_009
"Forth View Crescent",Currie,"Palmer Road","Curriehill Road",33.62,1,Bankhead_012
"Forth View Crescent",Currie,"Forth View Crescent","Palmer Road",74.33,1,Bankhead_012
"Forth View Crescent",Currie,"Currievale Drive","Forth View Crescent",68.63,1,Bankhead_012
"Forth View Crescent",Currie,"Palmer Road","Curriehill Road",56.57,1,Bankhead_012
"Forth View Road",Currie,"Pentland Place","Dolphin Gardens East",163.2,1,Bankhead_012
"Forthview Terrace",Craigleith,"Drylaw Crescent","Queen's Avenue",124.7,2,Barnton_201
"Forthview Terrace",Craigleith,"Queen's Avenue","Hillhouse Road",103,2,Barnton_201
"Foulis Crescent","Baberton Mains","Woodhall Avenue","Lanark Road",207.2,1,Bankhead_012
"Foulis Crescent","Baberton Mains","Baberton Crescent","Woodhall Avenue",56.14,1,Bankhead_012
Fountainbridge,Tollcross,"Semple Street","Semple Street",39.69,1,Bankhead_008
Fountainbridge,Tollcross,Fountainbridge,Fountainbridge,32.94,1,Bankhead_008
Fountainbridge,Tollcross,"Earl Grey Street","Semple Street",42.41,1,Bankhead_008
Fountainbridge,Tollcross,Fountainbridge,"Grove Street",67.42,1,Bankhead_008
Fountainbridge,Tollcross,"Ponton Street",Fountainbridge,169.2,1,Bankhead_008
Fountainbridge,Tollcross,Fountainbridge,Fountainbridge,27.25,1,Bankhead_008
Fountainbridge,Tollcross,"Semple Street","Ponton Street",30.61,1,Bankhead_007
Fountainbridge,Tollcross,Fountainbridge,Fountainbridge,64.77,1,Bankhead_008
Fountainbridge,Tollcross,"Grove Street","Gilmore Park",135.7,1,Bankhead_008
"Fowler Terrace",Polwarth,"Bryson Road","Watson Crescent",67.12,1,Bankhead_008
"Fowler Terrace",Polwarth,"Dundee Street","Bryson Road",75.16,1,Bankhead_008
"Fox Spring Crescent",Pentland,"Oxgangs Hill","Pentland Crescent",190.2,1,Bankhead_014
"Frederick Street","New Town","Rose Street","Princes Street",83.82,1,Barnton_017
"Frederick Street","New Town","George Street","Rose Street",73.8,1,Barnton_017
"Frederick Street","New Town","Thistle Street","George Street",74.05,1,Barnton_017
"Frederick Street","New Town","Queen Street","Thistle Street",82.22,1,Barnton_017
"Freelands Road",Gogar,"Freelands Road","Freelands Road",561.2,1,Farmers_001_Ratho
"Freelands Road",Gogar,"Freelands Road",M8T,232,1,Farmers_001_Ratho
"Freelands Road",Gogar,M8T,"Freelands Road",178.5,1,Farmers_001_Ratho
"Freelands Road",Gogar,"Freelands Road","Freelands Road",190.9,1,Farmers_001_Ratho
"Freelands Road",Gogar,"Freelands Road","Roddinglaw Road",610.6,1,Farmers_001_Ratho
"Freelands Way",Ratho/newbridge,"North Platt Crescent","Freelands Road",44.24,1,Farmers_001_Ratho
"Freelands Way",Ratho/newbridge,"Tormain Drive","North Platt Crescent",94.37,1,Farmers_001_Ratho
"Freelands Way",Ratho/newbridge,Canalside,"Tormain Drive",74.68,1,Farmers_001_Ratho
"Freelands Way",Ratho/newbridge,Canalside,"Baird Road",196,1,Farmers_001_Ratho
"Frogston Avenue",Frogston,"Frogston Gardens","Frogston Road West",91.68,1,Bankhead_005
"Frogston Avenue",Frogston,"End of cul de sac","Frogston Gardens",187.3,1,Bankhead_005
"Frogston Brae",Frogston,"Frogston Road West","Frogston Road East",199.6,1,Blackford_004
"Frogston Road East",Alnwickhill,"Mortonhall Gate","Mortonhall Park Avenue",204.4,1,Blackford_004
"Frogston Road East",Alnwickhill,"Mortonhall Park Avenue","Mortonhall Park Gardens",261.1,1,Blackford_004
"Frogston Road East",Alnwickhill,"Mortonhall Park Gardens","Howden Hall Road",357.3,1,Blackford_004
"Frogston Road East",Alnwickhill,"Frogston Brae","Mortonhall Gate",334,1,Blackford_004
"Frogston Road West",Frogston,"Queen Margaret Close","Mounthooly Loan",203.2,1,Blackford_004
"Frogston Road West",Frogston,"Mounthooly Loan","Frogston Brae",339.3,1,Blackford_004
"Frogston Road West",Frogston,"Winton Drive","Queen Margaret Close",353,1,Blackford_004
"Frogston Road West",Frogston,"Buckstone Terrace","Frogston Terrace",425.2,1,Bankhead_005
"Frogston Terrace",Frogston,"Frogston Gardens","Frogston Avenue",203.1,1,Bankhead_005
"Frogston Terrace",Frogston,"Frogston Road West","Frogston Gardens",165.2,1,Bankhead_005
"Gamekeeper's Road",Cramond,"Cramond Avenue","Cramond Road North",149.9,1,Barnton_011
"Gamekeeper's Road",Cramond,"Gamekeeper's Loan","Cramond Avenue",291.5,1,Barnton_011
"Gamekeeper's Road",Cramond,"Cottage Green","King's Cramond",115.4,1,Barnton_011
"Gamekeeper's Road",Cramond,"King's Cramond","Gamekeeper's Loan",195.5,1,Barnton_011
"Gamekeeper's Road",Cramond,"Gamekeeper's Park","Cottage Green",40.72,1,Barnton_011
"Gamekeeper's Road",Cramond,"Whitehouse Road","Gamekeeper's Road",33.29,1,Barnton_011
"Gamekeeper's Road",Cramond,"Gamekeeper's Road","Gamekeeper's Park",51.07,1,Barnton_011
"Gardner's Crescent",Bruntsfield,"Rosemount Buildings","End of cul de sac",192.2,1,Bankhead_008
"Gardner's Crescent",Bruntsfield,"Gardner's Crescent","Rosemount Buildings",37.16,1,Bankhead_008
"Gardner's Crescent",Bruntsfield,"Gardner's Crescent","Dewar Place",26.63,1,Bankhead_008
"Gardner's Crescent",Bruntsfield,"Gardner's Crescent",Fountainbridge,22.8,1,Bankhead_008
"Gardner's Crescent",Bruntsfield,"Gardner's Crescent","Gardner's Crescent",84.31,1,Bankhead_008
"Garscube Terrace","New Town","Garscube Terrace Lane","Ravelston Dykes",86.59,1,Barnton_007
"Garscube Terrace","New Town","Succoth Place","Garscube Terrace Lane",149.1,1,Barnton_007
"Garscube Terrace","New Town","Succoth Place","Chapelhill Road",108.3,1,Barnton_007
"Gateside Road",Kirkliston,"Gateside Road","Gateside Road",155.9,2,Barnton_202
"Gateside Road",Kirkliston,"Gateside Road","Gateside Road",78.49,2,Barnton_202
"Gateside Road",Kirkliston,"Gateside Road","Gateside Road",227.2,2,Barnton_202
"Gateside Road",Kirkliston,"Newliston Road","Gateside Road",39.91,2,Barnton_202
"Gayfield Place",Broughton,"Gayfield Place Lane","Gayfield Square",66.77,1,Barnton_004
"George IV Bridge","Old Town","Merchant Street","Chambers Street",70.21,1,Barnton_009
"George IV Bridge","Old Town",Cowgate,"Merchant Street",59.48,1,Barnton_009
"George IV Bridge","Old Town","High Street","Victoria Street",86.37,1,Barnton_009
"George IV Bridge","Old Town","Victoria Street",Cowgate,58.82,1,Barnton_009
"George Street","New Town","George Street","George Street",190.5,1,Barnton_017
"George Street","New Town","George Street","George Street",191.2,1,Barnton_017
"George Street","New Town","St Andrew Square","George Street",199.1,1,Barnton_017
"George Street","New Town","George Street","St Andrew Square",198.6,1,Barnton_017
"George Street","New Town","George Street","George Street",52.2,1,Barnton_017
"George Street","New Town","Castle Street","End of cul de sac",46.92,1,Barnton_017
"George Street","New Town","George Street","Charlotte Square",200.6,1,Barnton_017
"George Street","New Town","Charlotte Square","George Street",201.2,1,Barnton_017
"George Street","New Town","George Street","George Street",191,1,Barnton_017
"George Street","New Town","George Street","George Street",138.7,1,Barnton_017
"George Street","New Town","George Street","George Street",63.59,1,Barnton_017
"George Street","New Town","Hanover Street","End of cul de sac",61.56,1,Barnton_017
"Gillespie Place",Bruntsfield,"Glengyle Terrace","Gillespie Crescent",43.83,1,Blackford_002
"Gillespie Road",Hailes,"Gillespie Road","Lanark Road",137.2,1,Bankhead_005
"Gillespie Road",Hailes,"Pentland Avenue","Gillespie Road",69.37,1,Bankhead_005
"Gillespie Road",Hailes,"Gillespie Road","Gillespie Road",173.6,1,Bankhead_005
"Gillespie Road",Hailes,"End of cul de sac","Pentland Avenue",409.7,1,Bankhead_005
"Gillsland Road",Bruntsfield,"Polwarth Terrace","Spylaw Road",253.8,1,Bankhead_008
"Gilmerton Dykes Avenue","Hyvots Bank","Gilmerton Dykes Street","Gilmerton Dykes View",76.38,2,Blackford_201
"Gilmerton Dykes Avenue","Hyvots Bank","Gilmerton Dykes View","Gilmerton Dykes Loan",186.1,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Place","Gilmerton Dykes Gardens",65.31,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Gardens","Gilmerton Dykes Crescent",159.8,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Street","Gilmerton Dykes Place",93.04,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Crescent","Gilmerton Dykes Gardens",306.8,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Gardens","Gilmerton Dykes Place",70.72,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Grove","Gilmerton Dykes Street",68.84,2,Blackford_201
"Gilmerton Dykes Crescent","Hyvots Bank","Gilmerton Dykes Place","Gilmerton Dykes Grove",154.8,2,Blackford_201
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Drive",100.2,1,Blackford_011
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Avenue",59.01,1,Blackford_011
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes Avenue","Gilmerton Dykes Street",238.5,1,Blackford_011
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes Street","Gilmerton Dykes View",74.07,2,Blackford_201
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes View","Gilmerton Dykes Drive",149.4,2,Blackford_201
"Gilmerton Dykes Drive","Hyvots Bank","Hyvot Loan","Gilmerton Dykes Drive",123,1,Blackford_011
"Gilmerton Dykes Drive","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Loan",106.3,2,Blackford_201
"Gilmerton Dykes Loan","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Terrace",71.06,2,Blackford_201
"Gilmerton Dykes Loan","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Drive",64.17,2,Blackford_201
"Gilmerton Dykes Loan","Hyvots Bank","Gilmerton Dykes Terrace","Gilmerton Dykes Avenue",38.01,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Ravenscroft Place","Hyvot Court",29.55,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","East Kilngate Place","Gilmerton Dykes Road",147.2,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Hyvot Court","Hyvot View",96.59,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Hyvot View","Gilmerton Place",58.18,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Gilmerton Place","East Kilngate Place",100.6,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Gilmerton Dykes Road","Gilmerton Dykes Road",64.65,2,Blackford_201
"Gilmerton Dykes Road","Hyvots Bank","Gilmerton Dykes Road","Lasswade Road",126.1,2,Blackford_201
"Gilmerton Dykes Street","Hyvots Bank","Gilmerton Dykes Crescent","Gilmerton Dykes Crescent",91.77,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Newtoft Street","Hyvot Park",51.3,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Hyvot Park","Gilmerton Dykes Street",94.45,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Gilmerton Dykes Street","Gilmerton Dykes Drive",227,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Avenue",93.61,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Gilmerton Dykes Avenue","Gilmerton Dykes Crescent",127.5,1,Blackford_005
"Gilmerton Dykes Street","Hyvots Bank","Gilmerton Dykes Crescent","End of cul de sac",69.95,1,Blackford_005
"Gilmerton Road",Edinburgh,"Glenallan Drive","Double Hedges Road",32.56,1,Blackford_001
"Gilmerton Road",Edinburgh,"Drum Street","Drum Street",46.42,1,Blackford_001
"Gilmerton Road",Edinburgh,"Ellen's Glen Road","Moredunvale Road",195.9,1,Blackford_001
"Gilmerton Road",Edinburgh,"Mount Vernon Road","Claverhouse Drive",47.42,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",76.27,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",134.9,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",207.3,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","End of cul de sac",71.41,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",554.9,1,Blackford_001
"Gilmerton Road",Edinburgh,"Guardwell Crescent","Moredun Park Road",207.8,1,Blackford_001
"Gilmerton Road",Edinburgh,"Old Mill Lane","Liberton Road",155.8,1,Blackford_001
"Gilmerton Road",Edinburgh,"Orrok Park","Old Mill Lane",121.2,1,Blackford_001
"Gilmerton Road",Edinburgh,"Double Hedges Road","Orrok Park",163.7,1,Blackford_001
"Gilmerton Road",Edinburgh,"Redgauntlet Terrace","Walter Scott Avenue",194.1,1,Blackford_001
"Gilmerton Road",Edinburgh,"Walter Scott Avenue","Rutherford Drive",121.7,1,Blackford_001
"Gilmerton Road",Edinburgh,"Rutherford Drive","Glenallan Drive",298.7,1,Blackford_001
"Gilmerton Road",Edinburgh,"Claverhouse Drive","Redgauntlet Terrace",87.14,1,Blackford_001
"Gilmerton Road",Edinburgh,"Mount Vernon Road","Gilmerton Road",105.7,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",131.3,1,Blackford_001
"Gilmerton Road",Edinburgh,"Moredun Dykes Road","Ferniehill Road",191.4,1,Blackford_001
"Gilmerton Road",Edinburgh,"The Spinney","Moredun Dykes Road",124.6,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Ellen's Glen Road",174.7,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","The Spinney",112,1,Blackford_001
"Gilmerton Road",Edinburgh,"Moredunvale Road","Guardwell Crescent",62.48,1,Blackford_001
"Gilmerton Road",Edinburgh,"Moredun Park Road","Gilmerton Road",325.9,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",92.96,1,Blackford_001
"Gilmerton Road",Edinburgh,"Gilmerton Road","Gilmerton Road",77.8,1,Blackford_001
"Gilmerton Station Road","Hyvots Bank","Gilmerton Road","Gilmerton Station Road",453.1,1,Blackford_001
"Gilmerton Station Road","Hyvots Bank","Gilmerton Station Road","Lasswade Road",751.7,1,Blackford_001
"Gilmore Place",Tollcross,"Gilmore Place",Viewforth,55.8,1,Bankhead_007
"Gilmore Place",Tollcross,"Merchiston Avenue","Gilmore Place",163.8,1,Bankhead_007
"Gilmore Place",Tollcross,"Upper Gilmore Place","Leamington Terrace",131.5,1,Bankhead_007
"Gilmore Place",Tollcross,"Leamington Terrace","Gilmore Place",106.2,1,Bankhead_007
"Gilmore Place",Tollcross,"Gilmore Place",Viewforth,175.1,1,Bankhead_007
"Gilmore Place",Tollcross,"Leven Street","Hailes Street",112.8,1,Bankhead_007
"Gilmore Place",Tollcross,"Hailes Street","Gillespie Street",153.1,1,Bankhead_007
"Gilmore Place",Tollcross,"Gillespie Street","Upper Gilmore Place",50.48,1,Bankhead_007
"Gladstone Place",Lochend,"Links Gardens","Summerfield Gardens",123.3,1,Blackford_006
"Gladstone Terrace",Bruntsfield,"Melville Terrace","Sciennes Road",194.7,1,Blackford_016
"Glanville Place",Stockbridge,"Saunders Street","Baker's Place",34.71,1,Barnton_008
"Glasgow Road",Newbridge,"Glasgow Road","Glasgow Road",133.2,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Glasgow Road",277.8,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Glasgow Road",181.2,1,Bankhead_003
"Glasgow Road",Newbridge,"Middle Norton","Glasgow Road",392.8,1,Bankhead_003
"Glasgow Road",Newbridge,"Ingliston Interchange","Middle Norton",140.2,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Station Road",419.6,1,Bankhead_003
"Glasgow Road",Newbridge,"Station Road","Glasgow Road",428.9,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Newbridge Roundabout",162.2,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Glasgow Road",276.4,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Hallyards Road",176.6,1,Bankhead_003
"Glasgow Road",Newbridge,"Hallyards Road","Ingliston Interchange",915.1,1,Bankhead_003
"Glasgow Road",Newbridge,"Glasgow Road","Glasgow Road",427.3,1,Bankhead_003
"Glasgow Road",Newbridge,"Lochend Road","Glasgow Road",422.7,1,Bankhead_003
"Glasgow Road",Newbridge,"Newbridge Roundabout","Lochend Road",173.3,1,Bankhead_003
"Glasgow Road",Newbridge,"Ingliston Interchange","Ingliston Interchange",523.3,1,Bankhead_003
"Glasgow Road",Newbridge,"Gogarstone Road","Ingliston Interchange",195.5,1,Bankhead_003
"Glasgow Road",Newbridge,"Ingliston Interchange","Gogarstone Road",229.3,1,Bankhead_003
"Glasgow Road",Newbridge,"Ingliston Interchange","Ingliston Interchange",561.1,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",134.6,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","North Gyle Grove",134.6,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","Maybury Road",139.8,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",139.3,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",276,1,Bankhead_003
"Glasgow Road",Edinburgh,"City Of Edinburgh Bypass","Glasgow Road",101.9,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",139.1,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",250,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","South Gyle Broadway",99.9,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",228.3,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",231.2,1,Bankhead_003
"Glasgow Road",Edinburgh,"Meadow Place Road","End of cul de sac",75.16,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","End of cul de sac",263.8,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",108.9,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Turnhouse Road",187.1,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",266.2,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",60.73,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",39.08,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",60.81,1,Bankhead_004
"Glasgow Road",Edinburgh,"Craigs Avenue","Glasgow Road",30.64,1,Bankhead_004
"Glasgow Road",Edinburgh,"Maybury Road","Glasgow Road",136.1,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",289.4,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Gogar Station Road",282,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Gogarstone Road",192.9,1,Bankhead_003
"Glasgow Road",Edinburgh,"Gogarstone Road","Glasgow Road",195.2,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Craigs Avenue",170.5,1,Bankhead_004
"Glasgow Road",Edinburgh,"Craigs Gardens","Glasgow Road",126.2,1,Bankhead_004
"Glasgow Road",Edinburgh,"North Gyle Road","Craigs Gardens",79.25,1,Bankhead_004
"Glasgow Road",Edinburgh,"Glasgow Road","North Gyle Road",146.7,1,Bankhead_004
"Glasgow Road",Edinburgh,"Dechmont Road","Glasgow Road",173.4,1,Bankhead_004
"Glasgow Road",Edinburgh,"North Gyle Grove","Gyle Park Gardens",53.24,1,Bankhead_004
"Glasgow Road",Edinburgh,"Gyle Park Gardens","Dechmont Road",122.6,1,Bankhead_004
"Glasgow Road",Edinburgh,"Maybury Road","Glasgow Road",141.5,1,Bankhead_004
"Glasgow Road",Edinburgh,"Turnhouse Road","Maybury Road",85.84,1,Bankhead_004
"Glasgow Road",Edinburgh,"South Gyle Broadway","City Of Edinburgh Bypass",150.2,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",312.6,1,Bankhead_003
"Glasgow Road",Edinburgh,"South Gyle Broadway","Glasgow Road",237.5,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",402.9,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",400,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",147.6,1,Bankhead_003
"Glasgow Road",Edinburgh,"Glasgow Road","Glasgow Road",623.5,1,Bankhead_003
"Glasgow Road",Edinburgh,"Gogar Station Road","Glasgow Road",481.1,1,Bankhead_003
"Glenbrook Road",Balerno,"Cockburnhill Road","Glenbrook Road",187.2,1,Farmers_002_Dalmahoy
"Glenbrook Road",Balerno,"Johnsburn Road","Cockburnhill Road",26.02,1,Farmers_002_Dalmahoy
"Glenbrook Road",Balerno,"Glenbrook Road","Lanark Road West",1041,1,Farmers_002_Dalmahoy
"Glenbrook Road",Balerno,Glenpark,"Glenbrook Road",524.2,1,Farmers_002_Dalmahoy
"Glenbrook Road",Balerno,"Glenbrook Road",Glenpark,774.5,1,Farmers_002_Dalmahoy
"Glencairn Crescent","New Town","Eglinton Crescent","Eglinton Crescent",222,1,Barnton_007
"Glenlockhart Road","Easter Craiglockhart","Greenbank Drive","Glenlockhart Road",58.81,1,Bankhead_007
"Glenlockhart Road","Easter Craiglockhart","Glenlockhart Road","The Steils",648.3,1,Bankhead_007
"Glenlockhart Road","Easter Craiglockhart","Glenlockhart Bank","Glenlockhart Road",75.69,1,Bankhead_007
"Glenlockhart Road","Easter Craiglockhart","Colinton Road","Glenlockhart Bank",125.6,1,Bankhead_007
"Glenlockhart Road","Easter Craiglockhart","The Steils","Greenbank Drive",349.9,1,Bankhead_007
"Gogar Station Road",Edinburgh,"East Hermiston","Gogar Station Road",429.5,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Calder Road",Hermiston,70.52,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Gogar Station Road","Gogar Station Road",286.6,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,Gogarbank,"Gogar Station Road",236.6,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Gogar Station Road",Gogarbank,433.7,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Gogar Station Road","Gogar Station Road",293.5,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Gogar Station Road","Glasgow Road",110.7,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Gogar Station Road","Gogar Station Road",504.8,1,Farmers_001_Ratho
"Gogar Station Road",Edinburgh,"Glasgow Road","Gogar Station Road",323.2,1,Farmers_001_Ratho
Gogarbank,Edinburgh,"Gogar Station Road","Gogarmuir Road",670,1,Farmers_001_Ratho
"Gogarloch Road",Broomhall,"South Gyle Road","Gogarloch Road",38.52,1,Bankhead_009
