Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Lothian Road - The Hanging Bat","133-135 Lothian Road","3.18m x 1.0m","Friday, November 16, 2012","Friday, November 15, 2013",461,11,
"Lothian Street - Bristo Bar and Kitchen","41 Lothian Street","2.45m x 2.8m and 6.0m x 2.8m","Monday, April 01, 2013","Monday, March 31, 2014",417,11,
"Lothian Street - The Breakfast Club","45-47 Lothian Street","11.0m x 2.6m","Monday, April 01, 2013","Monday, March 31, 2014",365,11,
"Main Street, Balerno - Grey Horse Inn (Balerno)","20 Main Street","3.0m x 1.5m","Wednesday, April 10, 2013","Wednesday, October 09, 2013",308,02,
"Main Street, Balerno - The Malleny Arms","15 Main Street","5.50m x 2.0m","Saturday, June 29, 2013","Saturday, June 28, 2014",346,02,
"Marchmont Crescent - Caf","94-96 Marchmont Crescent","1.2m x 5.0m","Friday, June 14, 2013","Friday, December 13, 2013",170,10,
"Marchmont Crescent - Earl of Marchmont","22 Marchmont Crescent","5.5m x 1.5m & 2.5m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",385,10,
"Marchmont Crescent - The Pastures","24 Marchmont Crescent","2.5m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",269,10,
"Marchmont Road - Marchmont Take Away","98 Marchmont Road","1.78 m x1.20m","Wednesday, October 10, 2012","Wednesday, October 09, 2013",500,10,
"Marchmont Road - Toast","146 Marchmont Road","2.5m x 1.8m","Tuesday, May 21, 2013","Tuesday, May 20, 2014",202,10,
"Marshall Street - Beirut Restaurant","14 Marshall Street","4.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",317,15,
"Melville Place - The Westroom","3 Melville Place","1.8m x 2.5m","Friday, March 01, 2013","Monday, September 30, 2013",58,11,
"Melville Terrace - Victor Hugo","26 Melville Terrace","8.0m x 1.5m & 8.0m x 1.5m","Tuesday, April 09, 2013","Tuesday, October 08, 2013",328,15,
"Middle Meadow Walk - Tupiniquim","Top of Middle Meadow Walk","2.5m x 2.0m & 4.0m x 1.0m","Saturday, June 01, 2013","Monday, September 30, 2013",316,10,
"Montagu Terrace - Caf","12 Montagu Terrace","1.3m x 1.5m & 1.3m x 1.5m","Tuesday, April 16, 2013","Tuesday, October 15, 2013",305,05,
"Montagu Terrace - Caf","12a Montagu Terrace","1.80m x 1.10m","Sunday, February 03, 2013","Friday, August 02, 2013",492,05,
"Montgomery Street - Renroc Caf","89-91 Montgomery Street","2.0 m x 3.5m","Monday, May 27, 2013","Tuesday, November 26, 2013",341,12,
"Montrose Terrace - Just the ticket","1 Montrose Terrace","2.3m x 0.65m","Saturday, May 25, 2013","Sunday, November 24, 2013",509,11,
