ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2779,Half Edinburgh,Newhaven Road,Opposite 186,Yes,NB,0.00,0.00,North,Forth,
2780,Half Edinburgh,Newhaven Road,Outside 198 at bus stop,Yes,SB,0.00,0.00,North,Forth,
2781,Derby Standard,Newhaven Place,Opposite 5 at harbour,,EB,0.00,0.00,CC,Leith,
2782,Neopolitan,Newhaven Place,At bus stop near harbour inn,Yes,WB,0.00,0.00,CC,Leith,
2783,Neopolitan,Newhaven Place,At bus stop near loch fyne restaurant,Yes,EB,0.00,0.00,CC,Leith,
2784,Brunel,Fishmarket square,At harbour inn,Yes,EB,0.00,0.00,CC,Leith,
2785,Derby Standard,Newhaven Place,Opposite 4,Yes,WB,0.00,0.00,CC,Leith,
2786,Neopolitan,Newhaven Place,Outside Motor Boat club,Yes,WB,0.00,0.00,CC,Leith,
2787,Neopolitan,Newhaven Place,Opposite boat club,Yes,EB,0.00,0.00,CC,Leith,
2788,Derby Standard Green,Starbank Road,in Starbank park,Yes,WB,0.00,0.00,North,Forth,17/04/2011
2790,Neopolitan,Starbank Road,At Old Chain pier,Yes,EB,0.00,0.00,North,Forth,
2791,Neopolitan,Starbank Road,Opposite Old chain pier,Yes,WB,0.00,0.00,North,Forth,
2792,Topsy,East Trinity Road,Opposite 63,Yes,EB,0.00,0.00,North,Forth,
2793,Half Edinburgh,South Laverock Bank Avenue,Outside W D Johnson grocer,Yes,SB,0.00,0.00,North,Forth,
2794,Barnsley,Mckelvy parade,On walkway,Yes,EB,0.00,0.00,North,Forth,
2795,Topsy,Mckelvy parade,on walkway,Yes,EB,0.00,0.00,North,Forth,
2796,Topsy,Lower Granton Road,Opposite 13,Yes,EB,0.00,0.00,North,Forth,
2797,Neopolitan,Lower Granton Road,Outside 28 at bus stop,Yes,WB,0.00,0.00,North,Forth,
2798,Derby Standard,Lower Granton Road,Opposite 124,Yes,EB,0.00,0.00,North,Forth,
2799,Neopolitan,Lower Granton Road,Opposite 143,Yes,EB,0.00,0.00,North,Forth,
2800,Neopolitan,Lower Granton Road,Outside 148,Yes,WB,0.00,0.00,North,Forth,
2801,Barnsley,Granton view,Opposite 9,Yes,EB,0.00,0.00,North,Forth,
