DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
hairdresser,Senga's,Class 1,Class 1,Class 1,Class 1,164 BALGREEN ROAD,EH11 3AU
grocer,Day Today,Vacant,Vacant,Class 1,Class 1,166 BALGREEN ROAD,EH11 3AU
n/t/c & post office,Balgreen Rd. Sub Post Office,Class 1,Class 1,Class 1,Class 1,170 BALGREEN ROAD,EH11 3AU
vacant,vacant,Vacant,Class 9,Class 1,Vacant,4 BALTIC STREET,EH6 7BW
greeting cards,My Cards,Vacant,Class 2,,Class 1,3 BANGOR ROAD,EH6 5JY
knitwear,James Pringle Shopping Warehouse (Edinburgh Woollen Mill),,,Class 1,Class 1,70-74 BANGOR ROAD,EH6 5JU
"home entertainment, tapes, cds",Coda Music,,,Class 1,Class 1,12 BANK STREET,EH1 2LN
knitwear,Scottish Mills,Class 1,Vacant,Class 1,Class 1,14 BANK STREET,EH1 2LN
take-away food,CaffÚ Espresso,SUI GENERIS,Class 1,Class 1,SUI GENERIS,15 BANK STREET,EH1 2LN
photographic goods,Castle Photographic,Class 1,Class 1,Class 1,Class 1,16 BANK STREET,EH1 2LN
vacant,vacant (formerly R.L. Chistie),Class 1,Class 1,Class 1,Vacant,17-20 BANK STREET,EH1 2LN
bank,Bank of Scotland,Class 2,Class 2,Class 2,Class 2,10 BANKHEAD AVENUE,EH11 4HD
bank,Clydesdale Bank,Class 2,Class 2,Class 2,Class 2,12 BANKHEAD AVENUE,EH11 4HD
gas appliances,Calor Shop,,,Class 1,Class 1,6K BANKHEAD CROSSWAY NORT,EH11 4BP
car showroom,Arnold Clark,,,SUI GENERIS,SUI GENERIS,16-18 BANKHEAD DRIVE,EH11 4DJ
furniture,Shapes,,,Class 1,Class 1,1-3 BANKHEAD MEDWAY,EH11 4BY
public house,Henrick's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1-3 BARCLAY PLACE,EH10 4HW
restaurant,The Apartment,SUI GENERIS,Class 3,Class 3,Class 3,7-13 BARCLAY PLACE,EH10 4HW
"fine art, paintings",Outrageous Art,,,Class 1,Class 1,17-19 BARCLAY PLACE,EH10 4HW
florist,Petals by the Shore,,,Class 1,Class 1,57 BERNARD STREET,EH6 6SL
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,2 BERNARD STREET,EH6 6PU
bank,Clydesdale Bank,Class 2,Class 2,Class 2,Class 2,4(GF90) BERNARD STREET,EH6 6PU
