"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Blackford Avenue",Blackford,"Oswald Road","St Alban's Road",127.9,1B,P017_Morningside_Bru
"Blackford Avenue",Blackford,"St Alban's Road","Mortonhall Road",125,1B,P017_Morningside_Bru
"Blackford Avenue",Blackford,"Mortonhall Road","Blackford Bank",46.54,1B,P017_Morningside_Bru
"Blackford Avenue",Blackford,"Blackford Bank","Charterhall Grove",69.48,1B,P017_Morningside_Bru
"Blackford Avenue",Blackford,"Eva Place","West Savile Terrace",159.7,1A,P003_Liberton
"Blackford Avenue",Blackford,"Observatory Road","Eva Place",180,1A,P003_Liberton
"Blackford Glen Road",Blackford,"Liberton Brae","Blackford Glen Road",870.1,1A,P003_Liberton
"Bo'ness Road","South Queensferry","Echline Avenue","Springfield Crescent",96.8,1B,"P015_South Queensfer"
"Bo'ness Road","South Queensferry","Echline Avenue","Springfield View",26.08,1B,"P015_South Queensfer"
"Bo'ness Road","South Queensferry","Echline Avenue","Walker Drive",255.1,1B,"P015_South Queensfer"
"Bo'ness Road","South Queensferry","Springfield View","Springfield Crescent",315.4,1B,"P015_South Queensfer"
"Bonaly Avenue",Colinton,"Bonaly Crescent","Bonaly Drive",340.2,1A,P009_Colinton
"Bonaly Avenue",Colinton,"Bonaly Road","Bonaly Drive",82,1A,P009_Colinton
"Bonaly Brae",Colinton,"Bonaly Grove","Bonaly Brae",70.31,1A,P009_Colinton
"Bonaly Brae",Colinton,"Bonaly Brae","Bonaly Brae",182.1,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Laverockdale Loan","Laverockdale Crescent",17.07,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Bonaly Terrace","Laverockdale Loan",52.6,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Bonaly Terrace","Bonaly Avenue",69.36,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Bonaly Avenue","Laverockdale Park",50,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Bonaly Gardens","Laverockdale Park",20.02,1A,P009_Colinton
"Bonaly Crescent",Colinton,"Bonaly Gardens","Bonaly Rise",88.25,1A,P009_Colinton
"Bonaly Drive",Colinton,"Bonaly Drive","Bonaly Drive",72.24,1A,P009_Colinton
"Bonaly Drive",Colinton,"Bonaly Terrace","Bonaly Drive",46,1A,P009_Colinton
"Bonaly Drive",Colinton,"Bonaly Avenue","Bonaly Terrace",69.01,1A,P009_Colinton
"Bonaly Drive",Colinton,"Bonaly Avenue","Bonaly Gardens",70.11,1A,P009_Colinton
"Bonaly Drive",Colinton,"Bonaly Gardens","Bonaly Grove",71.11,1A,P009_Colinton
"Bonaly Grove",Colinton,"Bonaly Brae","Bonaly Crescent",215.3,1A,P009_Colinton
"Bonaly Grove",Colinton,"Bonaly Drive","Bonaly Brae",100.7,1A,P009_Colinton
"Bonaly Grove",Colinton,"Bonaly Drive","End of cul de sac",57.04,1A,P009_Colinton
"Bonaly Road",Colinton,"Bonaly Wester","Torduff Road",199.1,1A,P009_Colinton
"Bonaly Road",Colinton,"West Carnethy Avenue","Bonaly Road",96.19,1A,P009_Colinton
"Bonaly Road",Colinton,"Bonaly Road","Bonaly Avenue",82.03,1A,P009_Colinton
"Bonaly Road",Colinton,"Bonaly Avenue","Bonaly Wester",135,1A,P009_Colinton
"Bonaly Road",Colinton,"Grant Avenue","Woodhall Road",69.35,1A,P009_Colinton
"Bonaly Road",Colinton,"Grant Avenue","West Carnethy Avenue",126.2,1A,P009_Colinton
"Bonnington Road",Leith,"Anderson Place","Pilrig Street",280.8,1B,"P025_Leith Route"
"Bonnington Road",Leith,"Great Junction Street","Burlington Street",198,1B,"P025_Leith Route"
"Bonnington Road",Leith,"Burlington Street","Anderson Place",253,1B,"P025_Leith Route"
"Boswall Drive",Boswall,"Boswall Drive","Boswall Parkway",32.26,1B,P026_Trinity
"Boswall Drive",Boswall,"Boswall Crescent","Grierson Road",140.3,1B,P026_Trinity
"Boswall Drive",Boswall,"Wardie Park","Ferry Road",100.1,1B,P026_Trinity
"Boswall Drive",Boswall,"Boswall Quadrant","Boswall Avenue",68.73,1B,P026_Trinity
"Boswall Drive",Boswall,"Boswall Avenue","Wardie Park",142.3,1B,P026_Trinity
"Boswall Drive",Boswall,"Boswall Green","Boswall Quadrant",152.6,1B,P026_Trinity
"Boswall Drive",Boswall,"Boswall Crescent","Boswall Green",56.58,1B,P026_Trinity
"Boswall Loan",Boswall,"Boswall Loan","Granton Place",72.46,1B,P026_Trinity
"Boswall Loan",Boswall,"Boswall Loan","Boswall Parkway",92.33,1B,P026_Trinity
"Boswall Loan",Boswall,"Granton Place","Granton Terrace",76.42,1B,P026_Trinity
"Boswall Loan",Boswall,"Granton Terrace","Wardieburn Drive",91.5,1B,P026_Trinity
"Boswall Parkway",Royston,"Boswall Drive","Boswall Terrace",101.7,1B,P026_Trinity
"Boswall Parkway",Royston,"Boswall Loan","Boswall Drive",61.68,1B,P026_Trinity
"Boswall Parkway",Royston,"Wardieburn Drive","Boswall Terrace",90.67,1B,P026_Trinity
"Boswall Parkway",Royston,"Wardieburn Drive","Wardieburn Street East",85.85,1B,P026_Trinity
"Boswall Parkway",Royston,"Wardieburn Street East","Wardieburn Street West",174,1B,P026_Trinity
"Boswall Parkway",Royston,"Wardieburn Street West","Pilton Drive North",182.1,1B,P026_Trinity
"Boswall Parkway",Royston,"Royston Mains Gardens","Pilton Drive",94.05,1B,P026_Trinity
"Boswall Parkway",Royston,"Royston Mains Road","Royston Mains Gardens",82.5,1B,P026_Trinity
"Boswall Parkway",Royston,"Crewe Bank","Royston Mains Road",90.81,1B,P026_Trinity
"Boswall Parkway",Royston,"Crewe Crescent","Crewe Bank",88.96,1B,P026_Trinity
"Boswall Parkway",Royston,"Crewe Place","Crewe Crescent",83.19,1B,P026_Trinity
"Boswall Parkway",Royston,"Crewe Road North","Crewe Place",82.38,1B,P026_Trinity
"Bowhill Terrace",Warriston,"South Trinity Road","Monmouth Terrace",26.06,1B,P026_Trinity
"Bowhill Terrace",Warriston,"Inverleith Row","South Trinity Road",73.07,1B,P026_Trinity
"Braefoot Terrace",Mayfield,"Liberton Brae","Mayfield Road",43.18,1A,P003_Liberton
"Braid Road","Braid Hills","Frogston Terrace","Winton Drive",38.51,1A,P005_Fairmilehead
"Braid Road","Braid Hills","Buckstone Terrace","Buckstone Drive",31.78,1A,P005_Fairmilehead
"Brandon Street",Broughton,"Brandon Terrace","Brandon Street",91.04,1B,P027_Stockbridge
"Brandon Street",Broughton,"Brandon Street","Henderson Row",29.82,1B,P027_Stockbridge
"Brandon Street",Broughton,"Brandon Street","Brandon Street",29.82,1B,P027_Stockbridge
"Brandon Terrace",Broughton,"Canonmills Bridge","Brandon Street",117,1B,P027_Stockbridge
"Bread Street","Old Town","Spittal Street","West Port",88.14,1A,P002_CityCentreSouth
"Bread Street","Old Town","Lothian Road","Spittal Street",122.9,1A,P002_CityCentreSouth
"Bridge Road",Hailes,"Spylaw Street","Gillespie Road",119.1,1A,P009_Colinton
"Bridge Road",Hailes,"Colinton Road","Spylaw Street",264.6,1A,P009_Colinton
"Bridge Road",Balerno,"Bridge Road","Bavelaw Road",162.7,1A,P007_Balerno
"Bridge Road",Balerno,"Lanark Road West","Bridge Road",208.7,1A,P007_Balerno
"Bridge Road",Balerno,"Bavelaw Road","Main Street",81.03,1A,P007_Balerno
"Bridge Street",Newbridge,"Old Liston Road","End of cul de sac",250.2,1B,P016_Kirk_Newbdg_Rat
"Brighton Place","Portobello West","Lee Crescent","Rosefield Place",129.5,1B,P023_Portobello
"Brighton Place","Portobello West","West Brighton Crescent","Sir Harry Lauder Road",87.05,1B,P023_Portobello
"Brighton Place","Portobello West","Bath Street","Lee Crescent",68.02,1B,P023_Portobello
"Brighton Place","Portobello West","Rosefield Place","West Brighton Crescent",90.56,1B,P023_Portobello
"Brighton Place","Portobello West","Sir Harry Lauder Road","Southfield Place",23.35,1B,P023_Portobello
"Bristo Place",Newington,"Bristo Port",Potterrow,101.3,1A,P002_CityCentreSouth
"Broomhall Drive",Broomhall,"Wester Broom Avenue","South Gyle Road",159,1B,P013_Corstorphine
"Broomhouse Court",Broomhouse,"Broomhouse Terrace","Broomhouse Court",88.7,1B,P010_Broomhouse
"Broomhouse Court",Broomhouse,"Broomhouse Court","Broomhouse Crescent",63.89,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Street South","Calder Road - SR Numbers 298 - 370",82.48,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Row","Broomhouse Court",200,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Place South","Broomhouse Street South",138.5,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Crescent","Broomhouse Place South",145.5,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Court","Broomhouse Crescent",72.77,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Saughton Road","Broomhouse Row",82.57,1B,P010_Broomhouse
"Broomhouse Crescent",Broomhouse,"Broomhouse Crescent","Broomhouse Place North",77.89,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Avenue","Broomhouse Gardens East",204.3,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Medway","Saughton Road",414.1,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Gardens East","Broomhouse Medway",75.27,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Drive","Broomhouse Road",34.97,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Road","Broomhouse Drive",32.62,1B,P010_Broomhouse
"Broomhouse Drive",Broomhouse,"Broomhouse Drive","Broomhouse Avenue",57.66,1B,P010_Broomhouse
"Broomhouse Grove",Broomhouse,"Broomhouse Grove","Broomhouse Place South",77.49,1B,P010_Broomhouse
"Broomhouse Grove",Broomhouse,"Broomhouse Place North","Broomhouse Grove",72.11,1B,P010_Broomhouse
"Broomhouse Grove",Broomhouse,"Broomhouse Grove","Broomhouse Grove",144.8,1B,P010_Broomhouse
"Broomhouse Medway",Broomhouse,"Broomhouse Terrace","Broomhouse Street North",36.44,1B,P010_Broomhouse
"Broomhouse Medway",Broomhouse,"Broomhouse Street North","Broomhouse Place North",101.8,1B,P010_Broomhouse
"Broomhouse Medway",Broomhouse,"Broomhouse Terrace","Broomhouse Park",36.06,1B,P010_Broomhouse
"Broomhouse Medway",Broomhouse,"Broomhouse Park","Broomhouse Drive",103.1,1B,P010_Broomhouse
"Broomhouse Place North",Broomhouse,"Broomhouse Place North","Broomhouse Grove",102.2,1B,P010_Broomhouse
"Broomhouse Place North",Broomhouse,"Broomhouse Medway","Broomhouse Place North",33.24,1B,P010_Broomhouse
"Broomhouse Place South",Broomhouse,"Broomhouse Crescent","Broomhouse Grove",74.33,1B,P010_Broomhouse
"Broomhouse Road",Broomhouse,"Forrester Park Drive","Broomhouse Road",123.4,1B,P013_Corstorphine
"Broomhouse Road",Broomhouse,"Meadow Place Road","Forrester Park Drive",199.6,1B,P013_Corstorphine
"Broomhouse Terrace",Broomhouse,"Broomhouse Court","Broomhouse Medway",121.2,1B,P010_Broomhouse
"Broughton Place",Broughton,"Hart Street","Union Street",57.41,1B,"P025_Leith Route"
"Broughton Place",Broughton,"Hart Street","Broughton Street",93.41,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Rodney Street","Rodney Street",29.73,1B,"P025_Leith Route"
"Broughton Road",Warriston,"East Claremont Street","Beaverhall Road",151.1,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Mcdonald Road","East Claremont Street",104.5,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Redbraes Place","Bonnington Road",171.9,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Mcdonald Road","Redbraes Place",241.3,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Beaverhall Road","Dunedin Street",96.92,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Dunedin Street","Logie Green Road",160.3,1B,"P025_Leith Route"
"Broughton Road",Warriston,"Logie Green Road","Rodney Street",118.3,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Albany Street Lane","Broughton Street",29.14,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Broughton Place","Albany Street Lane",37.55,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Albany Street","Albany Street",21.43,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Broughton Street","Albany Street",29.87,1B,"P025_Leith Route"
"Broughton Street",Broughton,"York Place","Leith Walk",56.77,1A,P001_CityCentreNorth
"Broughton Street",Broughton,"Broughton Street","Cathedral Lane",35.33,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Broughton Street Lane","Broughton Street",44.78,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Cathedral Lane","Leith Walk",35.47,1A,P001_CityCentreNorth
"Broughton Street",Broughton,"Broughton Street","Broughton Street",33.55,1B,"P025_Leith Route"
"Broughton Street",Broughton,"York Lane","Broughton Street Lane",22.36,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Albany Street","York Lane",30.41,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Broughton Street","Broughton Place",78.05,1B,"P025_Leith Route"
"Broughton Street",Broughton,"Broughton Street","Broughton Street",33.23,1B,"P025_Leith Route"
"Brunstane Road South",Joppa,Gilberstoun,"Gilberstoun Place",233.4,1B,P023_Portobello
"Brunstane Road South",Joppa,"Brunstane Drive",Gilberstoun,72.09,1B,P023_Portobello
"Brunstane Road South",Joppa,"Milton Road East","Brunstane Drive",218.5,1B,P023_Portobello
"Brunswick Place",Broughton,"Albert Place","Brunswick Road",47.1,1B,"P025_Leith Route"
"Brunswick Place",Broughton,"Brunswick Road","Brunswick Street",40.8,1B,"P025_Leith Route"
"Brunswick Road",Broughton,"Mcdonald Road",Dicksonfield,72.78,1B,"P025_Leith Route"
"Brunswick Road",Broughton,Dicksonfield,"West Montgomery Place",108.7,1B,"P025_Leith Route"
"Brunswick Road",Broughton,"Elgin Terrace","Easter Road",75.66,1B,"P025_Leith Route"
"Brunswick Road",Broughton,Allanfield,"Elgin Terrace",165.5,1B,"P025_Leith Route"
"Brunswick Road",Broughton,"West Montgomery Place","Brunswick Road",155,1B,"P025_Leith Route"
"Brunswick Road",Broughton,"Brunswick Road",Allanfield,92.11,1B,"P025_Leith Route"
"Brunton Gardens",Broughton,"Wellington Street","Brunton Terrace",144.9,1B,"P025_Leith Route"
"Brunton Place",Broughton,"Brunton Place","Easter Road",35.06,1B,"P025_Leith Route"
"Brunton Place",Broughton,"Hillside Crescent","Brunton Terrace",110.2,1B,"P025_Leith Route"
"Brunton Place",Broughton,"Brunton Terrace","Brunton Place",73.17,1B,"P025_Leith Route"
"Bruntsfield Place",Bruntsfield,"Morningside Road","Chamberlain Road",28.07,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Bruntsfield Terrace","Forbes Road",70.19,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Merchiston Place","Forbes Road",164.6,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Chamberlain Road","Merchiston Place",166.4,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Gillespie Crescent","Barclay Terrace",101.2,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Barclay Terrace","Leamington Terrace",241.5,1B,P017_Morningside_Bru
"Bruntsfield Place",Bruntsfield,"Leamington Terrace","Bruntsfield Terrace",86.28,1B,P017_Morningside_Bru
"Bryce Road",Riccarton/muirwood,"Thomson Road","Lanark Road West",99.01,1A,P008_Currie
"Bryce Road",Riccarton/muirwood,"Thomson Road","Muir Wood Road",221.8,1A,P008_Currie
"Bryce Road",Riccarton/muirwood,"Muir Wood Road","Corslet Place",55.55,1A,P008_Currie
"Bryce Road",Riccarton/muirwood,"Riccarton Mains Road","Corslet Place",105.5,1A,P008_Currie
"Bryson Road",Polwarth,"Tay Street","Walnut Grove",90.2,1B,P029_Gorgie_Slatefor
"Bryson Road",Polwarth,"Walnut Grove","Ritchie Place",60.96,1B,P029_Gorgie_Slatefor
"Buccleuch Street",Newington,"Gifford Park","Buccleuch Terrace",67.52,1B,P018_Sciennes_Newing
"Buccleuch Street",Newington,Boroughloch,"Gifford Park",47.63,1B,P018_Sciennes_Newing
"Buccleuch Street",Newington,"Meadow Lane",Boroughloch,37,1B,P018_Sciennes_Newing
"Buccleuch Street",Newington,"Buccleuch Place","Meadow Lane",83.25,1B,P018_Sciennes_Newing
"Buccleuch Street",Newington,"West Crosscauseway","Buccleuch Place",65.54,1B,P018_Sciennes_Newing
"Buccleuch Street",Newington,"West Crosscauseway","West Crosscauseway",25,1B,P018_Sciennes_Newing
"Buckstone Circle",Buckstone,"Buckstone Loan East","Buckstone Loan",93.37,1A,P005_Fairmilehead
"Buckstone Circle",Buckstone,"Buckstone Loan","Buckstone Howe",71.33,1A,P005_Fairmilehead
"Buckstone Circle",Buckstone,"Buckstone Howe","Buckstone Shaw",77.13,1A,P005_Fairmilehead
"Buckstone Circle",Buckstone,"Buckstone Shaw","End of cul de sac",124.2,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Bank","Buckstone Hill",166.3,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Way","Buckstone Bank",67.28,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Drive","Buckstone Way",110.1,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Hill","Buckstone Row",72.29,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Row","Buckstone Neuk",125.3,1A,P005_Fairmilehead
"Buckstone Crescent",,"Buckstone Neuk","Buckstone Loan East",56.65,1A,P005_Fairmilehead
"Buckstone Drive",Buckstone,"Buckstone View","Buckstone Dell",61.8,1A,P005_Fairmilehead
"Buckstone Drive",Buckstone,"Buckstone Dell","Buckstone Crescent",73.62,1A,P005_Fairmilehead
"Buckstone Drive",Buckstone,"Braid Road","Buckstone View",92.75,1A,P005_Fairmilehead
"Buckstone Loan",,"Buckstone Green","Buckstone Gate",56.22,1A,P005_Fairmilehead
"Buckstone Loan",,"Buckstone Road","Buckstone Green",215.9,1A,P005_Fairmilehead
"Buckstone Loan",,"Buckstone Close","Buckstone Gate",185.7,1A,P005_Fairmilehead
"Buckstone Loan",,"Buckstone Circle","Buckstone Close",57.01,1A,P005_Fairmilehead
"Buckstone Loan East",Buckstone,"Buckstone Crescent","Buckstone Lea",172,1A,P005_Fairmilehead
"Buckstone Loan East",Buckstone,"Buckstone Gate","Buckstone Close",43.41,1A,P005_Fairmilehead
"Buckstone Loan East",Buckstone,"Buckstone Lea","Buckstone Gate",74.07,1A,P005_Fairmilehead
"Buckstone Loan East",Buckstone,"Buckstone Circle","End of cul de sac",31,1A,P005_Fairmilehead
"Buckstone Loan East",Buckstone,"Buckstone Close","Buckstone Circle",56.18,1A,P005_Fairmilehead
"Buckstone Road",,"Buckstone Loan","Buckstone Place",48.65,1A,P005_Fairmilehead
"Buckstone Road",,"Buckstone Place","Buckstone Wood",40.35,1A,P005_Fairmilehead
"Buckstone Road",,"Buckstone Wood","Buckstone Avenue",49.71,1A,P005_Fairmilehead
"Buckstone Road",,"Buckstone Avenue","Buckstone Road",78.67,1A,P005_Fairmilehead
"Buckstone Road",,"Buckstone Road","Buckstone Terrace",114.5,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Pentland Terrace","Braid Road",92.46,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Biggar Road","Buckstone Terrace",158.8,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Buckstone Terrace","Caiystane Crescent",227.6,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Caiystane Crescent","Buckstone Road",174,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Buckstone Road","Buckstone Gardens",113.6,1A,P005_Fairmilehead
"Buckstone Terrace",Buckstone,"Buckstone Gardens","Pentland Terrace",160,1A,P005_Fairmilehead
"Builyeon Road","South Queensferry",Echline,"Bo'ness Road",267.9,1B,"P015_South Queensfer"
"Builyeon Road","South Queensferry","Builyeon Road",Echline,390.5,1B,"P015_South Queensfer"
"Builyeon Road","South Queensferry","Builyeon Road","A8000 - Kirkliston to South Queensferry",321.3,1B,"P015_South Queensfer"
"Burgess Road","South Queensferry","Station Road","Kirkliston Road",312.5,1B,"P015_South Queensfer"
"Cadzow Place",Abbeyhill,"London Road","Carlyle Place",62.96,1B,P024_Lochend_Restalr
"Caiystane Gardens",Caiystane,"Oxgangs Brae","Oxgangs Bank",120.9,1A,P006_Oxgangs
"Calder Crescent",Calders,"Calder Gardens","Calder Grove",146.6,1B,P011_Wester_Hailes
"Calder Crescent",Calders,"Calder Gardens","Calder View",148.3,1B,P011_Wester_Hailes
"Calder Drive",Calders,"Wester Hailes Road","Calder Gardens",144.3,1B,P011_Wester_Hailes
"Calder Drive",Calders,"Calder Grove","Calder Drive",71.78,1B,P011_Wester_Hailes
"Calder Drive",Calders,"Calder Drive","Calder Place",24.02,1B,P011_Wester_Hailes
"Calder Gardens",Calders,"Calder Gardens","Calder Gardens",78.31,1B,P011_Wester_Hailes
"Calder Gardens",Calders,"Calder Drive","Calder Gardens",116,1B,P011_Wester_Hailes
"Calder Gardens",Calders,"Calder Gardens","Calder Court",100.4,1B,P011_Wester_Hailes
"Calder Gardens",Calders,"Calder Court","Calder Park",146.8,1B,P011_Wester_Hailes
"Calder Gardens",Calders,"Calder Park","Calder View",103.1,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Calder Grove","Calder Grove",33.87,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Murrayburn Drive","Calder Drive",54.96,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Murrayburn Drive","Calder Grove",148.8,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Calder Grove","Calder Grove",62.06,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Calder Grove","Calder Grove",20.08,1B,P011_Wester_Hailes
"Calder Grove",Calders,"Calder Crescent","Calder Grove",119,1B,P011_Wester_Hailes
"Calder Park",Calders,"Calder Park","End of cul de sac",77.03,1B,P011_Wester_Hailes
"Calder Park",Calders,"Calder Gardens","Calder Park",122.1,1B,P011_Wester_Hailes
"Calder Park",Calders,"Calder Park","End of cul de sac",97.17,1B,P011_Wester_Hailes
"Calder Place",Calders,"Calder Place","Calder Gardens",240.5,1B,P011_Wester_Hailes
"Calder Place",Calders,"Calder Drive","Calder Place",105.9,1B,P011_Wester_Hailes
"Calder Road",Edinburgh,"Calder Road - SR Numbers 298 - 370","Calder Road - SR Numbers 187 - 385",44.5,1B,P010_Broomhouse
"Calder Road",Edinburgh,"Calder Road Gardens","Gorgie Road",153.7,1B,P010_Broomhouse
"Calder Road",Edinburgh,"Calder Road Gardens","Stenhouse Road",146.1,1B,P010_Broomhouse
"Calder Road",Edinburgh,"Calder Road","Calder Road",674.7,1B,P010_Broomhouse
"Calder Road",Edinburgh,"Calder Road","Calder Road Gardens",433.6,1B,P010_Broomhouse
"Calder Road",Edinburgh,"Calder Road","Calder Road Gardens",433.1,1B,P010_Broomhouse
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Terrace","Parkhead Place",218.1,1B,P010_Broomhouse
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Street","End of cul de sac",92.48,1B,P010_Broomhouse
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Gardens","Parkhead Street",137.5,1B,P010_Broomhouse
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Place","Parkhead Gardens",142.1,1B,P010_Broomhouse
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Terrace","Calder Road",68.36,1B,P010_Broomhouse
"Calder Road - SR Numbers 298 - 370",Broomhouse,"Calder Road - SR Numbers 298 - 370","Broomhouse Road",194.8,1B,P010_Broomhouse
"Calder Road - SR Numbers 387 - 495",Sighthill,"Sighthill View","Sighthill Gardens",240.6,1B,P011_Wester_Hailes
"Calder Road - SR Numbers 387 - 495",Sighthill,"Sighthill Gardens","End of cul de sac",133.5,1B,P011_Wester_Hailes
"Calder View",Calders,"Calder Gardens","Calder View",208.1,1B,P011_Wester_Hailes
"Calder View",Calders,"Calder View","Calder Crescent",174.1,1B,P011_Wester_Hailes
"Caledonian Cycle Track",,"Caledonian Cycle Track","Newhaven Road",275.1,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Cycle Track From Trinity Station To Cale",815.3,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",207.4,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",903.2,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Muttonhole Gate",199.1,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","End of cul de sac",397.4,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","End of cul de sac",28.82,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","End of cul de sac",33.23,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Wester Coates Terrace",49.16,1B,CYC001_North
"Caledonian Cycle Track",,"End of cul de sac","Caledonian Cycle Track",108.5,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",519.7,1B,CYC001_North
"Caledonian Cycle Track",,"Cycle Track From Trinity Station To Cale","Caledonian Cycle Track",434.1,1B,CYC001_North
"Caledonian Cycle Track",,"Newhaven Road","Lindsay Road",556.3,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",220.3,1B,CYC001_North
"Caledonian Cycle Track",,"Muttonhole Gate","Caledonian Cycle Track",983.9,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",388.7,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",829.7,1B,CYC001_North
"Caledonian Cycle Track",,"Caledonian Cycle Track","Caledonian Cycle Track",283.6,1B,CYC001_North
"Cambridge Avenue",Bonnington,"Balfour Street","Pilrig Street",223.8,1B,"P025_Leith Route"
"Cambridge Street","Old Town","Cambridge Street Lane","Castle Terrace",63.82,1A,P002_CityCentreSouth
"Cambridge Street","Old Town","Grindlay Street","Cambridge Street Lane",62.59,1A,P002_CityCentreSouth
"Cameron Crescent",Prestonfield,"Cameron Park","Cameron Toll",157.2,1B,P018_Sciennes_Newing
"Cameron House Avenue",Prestonfield,"Prestonfield Road","Peffermill Road",246.2,1B,P018_Sciennes_Newing
"Cameron Terrace",Prestonfield,"Peffermill Road","Cameron Toll",90.38,1B,P021_Duddingston
"Cameron Toll",Prestonfield,"Cameron Terrace","End of cul de sac",304.1,1B,P018_Sciennes_Newing
"Canaan Lane",Newbattle,"End of cul de sac","Woodburn Place",142.1,1B,P017_Morningside_Bru
"Canaan Lane",Newbattle,"Woodburn Terrace","Morningside Road",319.6,1B,P017_Morningside_Bru
"Canaan Lane",Newbattle,"Grange Loan","Canaan Lane",272.9,1B,P017_Morningside_Bru
"Candlemaker Row","Old Town",Cowgate,"End of cul de sac",203.1,1A,P002_CityCentreSouth
"Candlemaker's Park",Moredun,"Candlemaker's Crescent","Candlemaker's Park",37.33,1A,P004_Inch_Moredun
"Candlemaker's Park",Moredun,"Candlemaker's Park","End of cul de sac",27.8,1A,P004_Inch_Moredun
