Location,"Reference No",Position
"Candlemaker Crescent",12372827,"Opposite number 16."
"Candlemaker Crescent",12372881,"Opposite number 2."
"Candlemaker Park",12372326,"Between 11 and 21."
"Candlemaker Park",12372974,"Outside number 86."
"Candlemaker Park",12372665,"Outside number 70."
"Candlemaker Park",12372467,"Opposite number 127."
"Candlemaker Park",12373172,"Opposite number 17."
"Canon Lane",17442394,"Between 2 and 3."
"Captain's Drive",17407622,"At lane at 67-69."
"Captain's Drive",12047455,"At 95, in cul-de-sac."
"Captain's Road",201,"At lane at 67."
"Carlowrie Avenue",13174868,"in front of no 33"
"Carlton Terrace Brae",17404137,"At top."
"Carmel Road",17404140,"At school."
"Carnbee Avenue",17407288,"in roundabout, junction of Carnbee Ave and Carnbee Dell"
"Carnbee Avenue",17407233,"At 25."
"Carnbee Avenue",17404146,"Near Ellen's Glen Nursing Home."
"Carnbee End",17406607,"Opposite lighting column CZT09."
"Carnbee Park",17404155,"Half-way down, near Carnbee Crescent."
"Carnbee Park",17404149,"On footway at lighting column CZF25."
"Carnbee Park",17404152,"At lighting column CZE08."
"Carnethy Avenue",17524593,"Opp No 25"
"Carnethy Avenue",17404158,"At Barnshot Road."
"Caroline Gardens",17404161,"Against brick wall in turning area opposite house 7."
"Caroline Terrace",17524673,"At junction with cul-de-sac at side of No 69"
"Caroline Terrace",13348345,"In cul-de-sac at side of no 47"
"Caroline Terrace",17404164,"Between 6-16."
"Caroline Terrace",13348513,"Opposite 82."
"Caroline Terrace",13348285,"At lighting column at side of house 29 in cul-de-sac."
"Carrick Knowe Avenue",17404167,"Against fence at end of path to bridge over railway beyond house 19."
"Castleview Drive",17404170,"At Castleview Grove."
"Cathcart Place",17407781,"At primary school entrance."
"Charterhall Grove",17406613,"At fence adjacent to gate for railway."
"Cherry Tree Gardens",17442418,"Between lighting columns 10KZ and 11KZ."
"Cherry Tree Loan",13104648,"in front of no 2"
"Cherry Tree Place",17404173,"At side of 19."
"Cherry Tree View",13104768,"In corner at lighting column 72 LA."
"Chessel's Court",17442400,
"Chesser Avenue",17407377,"At Chesser Loan."
"Chesser Avenue",10773497,"At Chesser Crescent."
"Chesser Avenue",12200945,"On pathway - Laichpark Loan, leading to Chesser Loan."
"Chesser Crescent",17406831,"beside no 94"
"Chesser Gardens",17404176,"Opposite 8."
"Chesser Loan",17558676,"Outside No 69"
"Chesser Loan",17442467,"Near 71."
"Chesser Loan",17407380,"Near cemetry."
"Chesser Loan",12200435,"at corner of no 97"
"Chesser Loan",17404182,"Opposite 87."
"Chesser Loan",17404179,"5 metres east of lighting column CGU12."
"Cheyne Street",12296437,"At house 4, at entrance to Edinburgh & Leith Old People's Welfare Council."
"Christian Crescent",17407805,"At cul-de-sac near 2."
"Christian Crescent",17407808,"At play area."
"Christian Grove",17407811,"At Hope Lane."
"Clackmae Grove",17407254,"by 1 Clackmae Grove"
"Clackmae Grove",12769285,"At 3."
"Clackmae Road",17407251,"At 47."
"Clackmae Road",17404185,"Outside house 4."
"Claremont Grove",12853895,"At side of 48 Claremont Bank."
"Clarendon Crescent",17404188,"Against stone wall of central island at end of Dean Bridge beside GPO joint box and disused sand bin."
"Clark Place",17442609,"Opposite 5."
"Clark Road",13257391,"Outside St.Serf's church hall entrance, opp 48."
"Clayhills Grove",12301174,"At lighting column 74KY."
"Clayhills Park",17404194,"At Johnsburn Road."
"Claylands Road",17406794,"by junction with side road to Claylands Cottage, near streetlight CYM01"
"Claylands Road",17404197,"Off roundabout at access road to Fire Brigade Operational Support Centre."
Cleikiminfield,12454333,"in front of no 26"
Cleikiminfield,12454294,"Opposite house 10."
Cleikiminrig,12454099,"facing no 41"
Cleikiminrig,12454051,"beside no 1"
